ID_HH,s12_car_numb,s12_car_a_numb,s12_car_b_numb,s12_car_c_numb,s12_car_1,s12_car_2,s12_car_3,s12_car_a6_r,s12_car_a7,s12_car_a8,s12_car_a10,s12_car_a11,s12_car_a12_r,s12_car_a13_g,s12_car_a15_r,s12_car_a17,s12_car_a20_r,s12_car_a29,s12_car_a30,s12_car_a31,s12_car_a33_r,s12_car_a34,s12_car_a35,s12_car_a36_r,s12_car_a37,s12_car_a38,s12_car_b6_r,s12_car_b7,s12_car_b8,s12_car_b10,s12_car_b11,s12_car_b12_r,s12_car_b13_g,s12_car_b15_r,s12_car_b17,s12_car_b20_r,s12_car_b29,s12_car_b30,s12_car_b31,s12_car_b33_r,s12_car_b34,s12_car_b35,s12_car_b36_r,s12_car_b37,s12_car_b38
HH17390015,1,1,0,0,1,1,-7,1,2009,1,2009,1,1,2,5,1,4082,100,0,0,11.5,4,2,4,354.9565217,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390018,1,1,0,0,0,-7,-7,1,2014,7,2010,2,1,2,5,1,7589,0,0,100,15,4,2,2,505.9333333,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390019,1,1,0,0,0,-7,-7,1,2013,10,2013,1,1,2,5,1,7000,0,0,100,12.1,4,1,4,578.5123967,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390020,1,1,0,0,1,1,-7,1,2018,1,2018,1,1,1,5,1,14760,40,50,10,9.9,4,2,4,1490.909091,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390022,1,1,0,0,1,1,-7,1,2021,5,2021,1,1,3,5,1,4000,0,0,100,9.978661088,4,1,4,400.8553818,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390023,1,1,0,0,1,1,-7,1,2007,6,2007,1,3,2,5,1,7000,90,0,10,13,4,1,4,538.4615385,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390024,1,1,0,0,0,-7,-7,1,2012,5,2002,2,1,1,5,1,3800,80,0,20,12,4,1,4,316.6666667,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110002,1,1,0,0,0,-7,-7,1,2015,6,2015,1,1,1,5,1,10001.62431,80,10,10,11.97303103,4,1,4,835.3460613,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110003,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110004,2,2,0,0,0,-7,-7,1,2015,1,2015,1,2,3,5,1,40000,20,20,60,10.46428571,3,2,4,3822.525597,-7,1,2020,11,2020,1,1,3,5,1,10895.89181,30,40,30,9.978661088,3,1,4,1091.919218,-7
