"","가구ID","광역시도","주택종류","외벽수","주택방향","준공년도","난방기기","난방연료","취사설비","냉방만족도","난방만족도","가구원수","교육정도","출생년도","세후소득","연도","전기소비량","지역난방소비량","도시가스소비량","등유소비량","프로판소비량","기타석유소비량","연탄소비량","기타연료소비량","석유소비량"
"118","HH17110014",11,5,3,3,2003,5,4,2,3,2,2,3,1949,3500,2019,3249.08,0,9024.33,0,0,0,0,0,0
"119","HH17110015",11,6,3,2,2000,5,4,2,3,2,6,3,1972,6000,2019,2591.18,0,8478.96,0,0,0,0,0,0
"120","HH17110020",11,6,3,3,2000,5,4,2,3,3,4,3,1970,8000,2019,1674.42,0,5885.88,0,0,0,0,0,0
"121","HH18110062",11,6,3,3,2004,5,4,2,3,3,2,1,1939,3700,2019,3395.28,0,7542.57,0,0,0,0,0,0
"122","HH18110067",11,6,3,3,2003,5,4,2,1,1,5,4,1979,17000,2019,3035.8,0,11133.78,0,0,0,0,0,0
"123","HH18110068",11,6,3,5,2000,5,4,2,3,2,4,3,1971,9000,2019,2941.2,0,9137.52,0,0,0,0,0,0
"124","HH18110070",11,6,4,1,2016,5,4,2,4,4,1,2,1954,-9,2019,2008.96,0,2593.08,0,0,0,0,0,0
"125","HH13110107",11,6,4,3,2000,5,4,2,2,3,3,3,1971,3600,2019,3265.42,0,7244.16,0,0,0,0,0,0
"126","HH19110097",11,6,4,5,1992,5,4,2,3,2,3,3,1965,4100,2019,3046.12,0,6482.7,0,0,0,0,0,0
"127","HH19110098",11,6,4,5,1992,5,4,2,3,3,3,3,1968,5400,2019,2137.1,0,5968.2,0,0,0,0,0,0
"128","HH19110099",11,5,4,5,2018,5,4,2,2,2,1,3,1990,3100,2019,2464.76,0,3467.73,0,0,0,0,0,0
"129","HH19110100",11,1,6,1,1986,5,4,2,3,3,1,1,1944,800,2019,1626.26,0,1985.97,0,0,0,0,0,0
"130","HH19110101",11,5,3,3,2016,5,4,2,2,2,3,2,1950,7000,2019,3096.86,0,10835.37,0,0,0,0,0,0
"131","HH19110102",11,5,3,3,2016,5,4,2,2,2,4,3,1954,7500,2019,3485.58,0,10125.36,0,0,0,0,0,0
"132","HH19110104",11,7,4,5,1984,5,4,2,2,2,1,2,1972,2900,2019,2083.78,0,3066.42,0,0,0,0,0,0
"133","HH19110105",11,6,2,5,2009,5,4,2,2,2,2,2,1959,5500,2019,2948.94,0,9847.53,0,0,0,0,0,0
"134","HH19110106",11,6,2,5,2009,5,4,2,2,2,2,2,1980,3200,2019,3150.18,0,8571.57,0,0,0,0,0,0
"135","HH19110107",11,6,2,5,2009,5,4,2,2,2,3,2,1970,8000,2019,3158.78,0,3303.09,0,0,0,0,0,0
"136","HH19110108",11,6,2,5,2009,5,4,2,2,2,4,3,1984,3600,2019,3427.1,0,10619.28,0,0,0,0,0,0
"137","HH19110109",11,6,2,5,2009,5,4,2,2,2,3,2,1984,5500,2019,3489.88,0,10732.47,0,0,0,0,0,0
"138","HH19110110",11,1,3,3,1976,5,4,2,2,2,2,3,1977,5100,2019,2720.18,0,6307.77,0,0,0,0,0,0
"139","HH19110111",11,7,3,6,1984,5,4,2,2,2,1,1,1948,1200,2019,2088.08,0,3241.35,0,0,0,0,0,0
"140","HH19110112",11,2,4,1,1992,5,4,2,3,3,1,3,1981,3000,2019,2644.5,0,6925.17,0,0,0,0,0,0
"141","HH19110113",11,2,3,1,1992,5,4,2,3,3,1,2,1965,2200,2019,2969.58,0,7470.54,0,0,0,0,0,0
"142","HH19110114",11,8,3,1,1993,5,4,2,3,3,2,2,1956,1800,2019,3022.04,0,9672.6,0,0,0,0,0,0
"143","HH19110115",11,8,3,5,1993,5,4,2,3,3,2,2,1954,4600,2019,3387.54,0,10434.06,0,0,0,0,0,0
"144","HH19110116",11,1,5,1,1990,5,4,2,2,2,1,2,1981,2000,2019,2175.8,0,4918.62,0,0,0,0,0,0
"145","HH19110117",11,3,3,3,2001,5,4,2,3,3,1,1,1949,1000,2019,1923.82,0,4260.06,0,0,0,0,0,0
"146","HH19110118",11,5,4,5,1998,5,4,2,3,2,2,3,1979,4300,2019,2156.02,0,3683.82,0,0,0,0,0,0
"147","HH19110119",11,5,4,3,1993,5,4,2,2,2,2,3,1985,2400,2019,2244.6,0,4795.14,0,0,0,0,0,0
"148","HH19110120",11,3,4,3,1992,5,4,2,2,2,4,2,1974,4000,2019,2531.84,0,6811.98,0,0,0,0,0,0
"149","HH19110121",11,5,5,3,1993,5,4,2,2,2,1,2,1962,2500,2019,2524.96,0,8530.41,0,0,0,0,0,0
"150","HH19110122",11,1,4,3,1994,5,4,2,3,3,1,2,1957,2300,2019,1970.26,0,4599.63,0,0,0,0,0,0
"151","HH19110124",11,3,5,5,1991,5,4,2,3,2,2,3,1984,4200,2019,2905.94,0,6884.01,0,0,0,0,0,0
"152","HH19110125",11,3,5,3,1965,5,4,2,2,3,3,2,1949,4800,2019,2951.52,0,4352.67,0,0,0,0,0,0
"153","HH19110126",11,1,5,3,1990,5,4,2,1,2,2,3,1989,3800,2019,2982.48,0,8520.12,0,0,0,0,0,0
"154","HH19110127",11,6,2,5,1997,5,4,2,3,3,2,2,1954,1600,2019,2788.98,0,9322.74,0,0,0,0,0,0
"155","HH19110128",11,6,2,5,1997,5,4,2,3,3,3,2,1950,3200,2019,3008.28,0,9435.93,0,0,0,0,0,0
"156","HH19110129",11,6,2,3,2001,5,4,2,3,3,4,2,1960,9000,2019,3669.62,0,11761.47,0,0,0,0,0,0
"157","HH19110130",11,6,2,3,2001,5,4,2,3,3,3,2,1965,4500,2019,3455.48,0,11164.65,0,0,0,0,0,0
"158","HH19110133",11,6,5,2,1992,5,4,2,2,3,2,1,1933,1200,2019,3024.62,0,9857.82,0,0,0,0,0,0
"159","HH19110134",11,5,5,5,1989,5,4,2,2,2,5,3,1967,4600,2019,698.32,0,9075.78,0,0,0,0,0,0
"160","HH18110055",11,6,4,1,1997,5,4,2,2,2,3,3,1965,4500,2019,3607.7,0,11133.78,0,0,0,0,0,0
